mode,mass_squared,boundary_residue,normalized_weight,cumulative_normalized_weight
287,812949.61157996987,1.7084557631182431e-08,2.0501469157418916e-07,0.99994126315131415
288,818624.6341105965,1.6966120927392554e-08,2.0359345112871064e-07,0.99994146674476525
289,824319.39585002512,1.6848911494824388e-08,2.0218693793789266e-07,0.99994166893170322
290,830033.89679825609,1.673291252149112e-08,2.0079495025789344e-07,0.99994186972665344
291,835768.1369552894,1.6618107368924963e-08,1.9941728842709956e-07,0.9999420691439419
292,841522.11632112449,1.6504479652808581e-08,1.9805375583370297e-07,0.99994226719769774
293,847295.83489576203,1.6392013404273483e-08,1.9670416085128178e-07,0.99994246390185859
294,853089.2926792017,1.6280692817596534e-08,1.9536831381115841e-07,0.99994265927017245
295,858902.48967144324,1.6170502330128828e-08,1.9404602796154593e-07,0.99994285331620036
296,864735.4258724876,1.6061426863593355e-08,1.9273712236312028e-07,0.99994304605332274
297,870588.10128233372,1.595345124819749e-08,1.9144141497836987e-07,0.99994323749473768
298,876460.51590098208,1.5846560791716288e-08,1.9015872950059546e-07,0.99994342765346722
299,882352.66972843255,1.5740741030280067e-08,1.888888923633608e-07,0.99994361654235964
300,888264.5627646849,1.5635977644963495e-08,1.8763173173956194e-07,0.99994380417409134
301,894196.19500973995,1.55322567807702e-08,1.863870813692424e-07,0.99994399056117267
302,900147.56646359689,1.5429564480535893e-08,1.8515477376643071e-07,0.9999441757159464
303,906118.6771262564,1.5327887324337274e-08,1.839346478920473e-07,0.99994435965059425
304,912109.5269977178,1.5227211865883572e-08,1.8272654239060286e-07,0.99994454237713659
305,918120.11607798131,1.5127525029164657e-08,1.815303003499759e-07,0.99994472390743694
306,924150.44436704682,1.5028813866586486e-08,1.8034576639903785e-07,0.99994490425320337
307,930200.51186491479,1.493106579331974e-08,1.7917278951983687e-07,0.99994508342599286
308,936270.31857158488,1.4834268268772468e-08,1.7801121922526962e-07,0.99994526143721207
309,942359.86448705744,1.4738409030757689e-08,1.7686090836909227e-07,0.99994543829812044
310,948469.14961133187,1.4643475936001648e-08,1.7572171123201979e-07,0.99994561401983162
311,954598.17394440854,1.4549457114007222e-08,1.7459348536808666e-07,0.99994578861331695
312,960746.93748628697,1.4456340808650354e-08,1.7347608970380424e-07,0.99994596208940667
313,966915.44023696834,1.4364115685262931e-08,1.7236938822315518e-07,0.99994613445879488
314,973103.68219645147,1.427277020985855e-08,1.7127324251830259e-07,0.99994630573203735
315,979311.66336473683,1.4182293342160135e-08,1.7018752010592162e-07,0.99994647591955743
316,985539.38374182396,1.4092673993934585e-08,1.6911208792721503e-07,0.99994664503164532
317,991786.84332771401,1.4003901563030366e-08,1.6804681875636439e-07,0.99994681307846411
318,998054.04212240549,1.3915965167622631e-08,1.6699158201147159e-07,0.99994698007004612
319,1004340.9801258998,1.3828854558650327e-08,1.6594625470380393e-07,0.99994714601630086
320,1010647.6573381959,1.374255928114455e-08,1.649107113737346e-07,0.99994731092701228
321,1016974.0737592945,1.3657069279188146e-08,1.6388483135025774e-07,0.99994747481184365
322,1023320.229389195,1.3572374515599128e-08,1.6286849418718953e-07,0.99994763768033779
323,1029686.124227898,1.3488465196195114e-08,1.6186158235434137e-07,0.99994779954192015
